start|hour|trips|latitude|longitude
(40.643,-73.79)|17|3312|40.643|-73.79
(40.643,-73.79)|18|2857|40.643|-73.79
(40.643,-73.79)|19|2938|40.643|-73.79
(40.643,-73.79)|20|2968|40.643|-73.79
(40.643,-73.79)|21|3152|40.643|-73.79
(40.643,-73.79)|22|2996|40.643|-73.79
(40.643,-73.79)|23|2439|40.643|-73.79
(40.644,-73.782)|0|2177|40.644|-73.782
(40.644,-73.782)|1|1198|40.644|-73.782
(40.644,-73.782)|2|319|40.644|-73.782
(40.644,-73.782)|3|211|40.644|-73.782
(40.644,-73.782)|4|172|40.644|-73.782
(40.644,-73.782)|5|784|40.644|-73.782
(40.644,-73.782)|6|1974|40.644|-73.782
(40.644,-73.782)|7|1896|40.644|-73.782
(40.644,-73.782)|8|1470|40.644|-73.782
(40.644,-73.782)|9|792|40.644|-73.782
(40.644,-73.782)|10|1011|40.644|-73.782
(40.644,-73.782)|11|1198|40.644|-73.782
(40.644,-73.782)|12|1495|40.644|-73.782
(40.644,-73.782)|13|2274|40.644|-73.782
(40.644,-73.782)|14|2750|40.644|-73.782
(40.644,-73.782)|15|3289|40.644|-73.782
(40.644,-73.782)|16|3047|40.644|-73.782
(40.644,-73.782)|17|3063|40.644|-73.782
(40.644,-73.782)|18|3011|40.644|-73.782
(40.644,-73.782)|19|2475|40.644|-73.782
(40.644,-73.782)|20|2688|40.644|-73.782
(40.644,-73.782)|21|2463|40.644|-73.782
(40.644,-73.782)|22|2454|40.644|-73.782
(40.644,-73.782)|23|2305|40.644|-73.782
(40.644,-73.783)|0|3367|40.644|-73.783
(40.644,-73.783)|1|1636|40.644|-73.783
(40.644,-73.783)|2|371|40.644|-73.783
(40.644,-73.783)|3|188|40.644|-73.783
(40.644,-73.783)|4|224|40.644|-73.783
(40.644,-73.783)|5|922|40.644|-73.783
(40.644,-73.783)|6|1459|40.644|-73.783
(40.644,-73.783)|7|1635|40.644|-73.783
(40.644,-73.783)|8|1209|40.644|-73.783
(40.644,-73.783)|9|904|40.644|-73.783
(40.644,-73.783)|10|979|40.644|-73.783
(40.644,-73.783)|11|804|40.644|-73.783
(40.644,-73.783)|12|952|40.644|-73.783
(40.644,-73.783)|13|2032|40.644|-73.783
(40.644,-73.783)|14|3690|40.644|-73.783
(40.644,-73.783)|15|4779|40.644|-73.783
(40.644,-73.783)|16|4669|40.644|-73.783
(40.644,-73.783)|17|3824|40.644|-73.783
(40.644,-73.783)|18|4138|40.644|-73.783
(40.644,-73.783)|19|3079|40.644|-73.783
(40.644,-73.783)|20|3820|40.644|-73.783
(40.644,-73.783)|21|3176|40.644|-73.783
(40.644,-73.783)|22|3211|40.644|-73.783
(40.644,-73.783)|23|3090|40.644|-73.783
(40.644,-73.784)|0|45|40.644|-73.784
(40.644,-73.784)|1|26|40.644|-73.784
(40.644,-73.784)|2|12|40.644|-73.784
(40.644,-73.784)|3|5|40.644|-73.784
(40.644,-73.784)|4|12|40.644|-73.784
(40.644,-73.784)|5|100|40.644|-73.784
(40.644,-73.784)|6|148|40.644|-73.784
(40.644,-73.784)|7|122|40.644|-73.784
(40.644,-73.784)|8|87|40.644|-73.784
(40.644,-73.784)|9|86|40.644|-73.784
(40.644,-73.784)|10|70|40.644|-73.784
(40.644,-73.784)|11|62|40.644|-73.784
(40.644,-73.784)|12|96|40.644|-73.784
(40.644,-73.784)|13|153|40.644|-73.784
(40.644,-73.784)|14|236|40.644|-73.784
(40.644,-73.784)|15|238|40.644|-73.784
(40.644,-73.784)|16|245|40.644|-73.784
(40.644,-73.784)|17|275|40.644|-73.784
(40.644,-73.784)|18|216|40.644|-73.784
(40.644,-73.784)|19|164|40.644|-73.784
(40.644,-73.784)|20|116|40.644|-73.784
(40.644,-73.784)|21|81|40.644|-73.784
(40.644,-73.784)|22|81|40.644|-73.784
(40.644,-73.784)|23|48|40.644|-73.784
(40.644,-73.79)|0|7215|40.644|-73.79
(40.644,-73.79)|1|675|40.644|-73.79
(40.644,-73.79)|2|144|40.644|-73.79
(40.644,-73.79)|3|50|40.644|-73.79
(40.644,-73.79)|4|77|40.644|-73.79
(40.644,-73.79)|5|79|40.644|-73.79
(40.644,-73.79)|6|1381|40.644|-73.79
(40.644,-73.79)|7|3170|40.644|-73.79
(40.644,-73.79)|8|3504|40.644|-73.79
(40.644,-73.79)|9|1695|40.644|-73.79
(40.644,-73.79)|10|5340|40.644|-73.79
(40.644,-73.79)|11|11420|40.644|-73.79
(40.644,-73.79)|12|11054|40.644|-73.79
(40.644,-73.79)|13|15497|40.644|-73.79
(40.644,-73.79)|14|18689|40.644|-73.79
(40.644,-73.79)|15|17220|40.644|-73.79
(40.644,-73.79)|16|15653|40.644|-73.79
(40.644,-73.79)|17|17186|40.644|-73.79
(40.644,-73.79)|18|15310|40.644|-73.79
(40.644,-73.79)|19|15263|40.644|-73.79
(40.644,-73.79)|20|17622|40.644|-73.79
(40.644,-73.79)|21|20086|40.644|-73.79
(40.644,-73.79)|22|21145|40.644|-73.79
(40.644,-73.79)|23|18834|40.644|-73.79
(40.644,-73.791)|0|860|40.644|-73.791
(40.644,-73.791)|1|100|40.644|-73.791
(40.644,-73.791)|2|20|40.644|-73.791
(40.644,-73.791)|3|4|40.644|-73.791
(40.644,-73.791)|4|12|40.644|-73.791
(40.644,-73.791)|5|4|40.644|-73.791
(40.644,-73.791)|6|125|40.644|-73.791
(40.644,-73.791)|7|308|40.644|-73.791
(40.644,-73.791)|8|302|40.644|-73.791
(40.644,-73.791)|9|129|40.644|-73.791
(40.644,-73.791)|10|580|40.644|-73.791
(40.644,-73.791)|11|1337|40.644|-73.791
(40.644,-73.791)|12|1159|40.644|-73.791
(40.644,-73.791)|13|1684|40.644|-73.791
(40.644,-73.791)|14|2177|40.644|-73.791
(40.644,-73.791)|15|1980|40.644|-73.791
(40.644,-73.791)|16|1731|40.644|-73.791
(40.644,-73.791)|17|2016|40.644|-73.791
(40.644,-73.791)|18|1852|40.644|-73.791
